Country,Indicator,Value
Micronesia (Federated States of),Life expectancy (at birth) (FEMALE),68.6581192
Mongolia,Life expectancy (at birth) (FEMALE),73.858284
Montenegro,Life expectancy (at birth) (FEMALE),77.87943268
Morocco,Life expectancy (at birth) (FEMALE),73.71494293
Mozambique,Life expectancy (at birth) (FEMALE),60.54787064
Myanmar,Life expectancy (at birth) (FEMALE),71.14627838
Namibia,Life expectancy (at birth) (FEMALE),63.44307327
Nepal,Life expectancy (at birth) (FEMALE),71.79351807
Iraq,Life expectancy (at birth) (FEMALE),73.91197205
Ireland,Life expectancy (at birth) (FEMALE),83.35086823
Israel,Life expectancy (at birth) (FEMALE),82.09316254
Italy,Life expectancy (at birth) (FEMALE),84.32794952
Jamaica,Life expectancy (at birth) (FEMALE),72.7726059
Botswana,Life expectancy (at birth) (MALE),58.94968
Democratic People's Republic of Korea,Life expectancy (at birth) (FEMALE),74.78136
Djibouti,Life expectancy (at birth) (FEMALE),67.77696
Benin,Life expectancy (at birth) (FEMALE),62.87867
Estonia,Life expectancy (at birth) (FEMALE),76.173
Sudan,Life expectancy (at birth) (FEMALE),70.7551
Thailand,Life expectancy (at birth) (FEMALE),75.20052
Saint Vincent and the Grenadines,Life expectancy (at birth) (FEMALE),72.80991
Brazil,Life expectancy (at birth) (FEMALE),77.6834
Belize,Life expectancy (at birth) (FEMALE),76.11723
Namibia,Life expectancy (at birth) (FEMALE),68.44906
Malta,Life expectancy (at birth) (FEMALE),82.54498
Montenegro,Life expectancy (at birth) (FEMALE),76.26957
Americas,Life expectancy (at birth) (FEMALE),79.83914
Uganda,Life expectancy (at birth) (FEMALE),68.12691
Gambia,Life expectancy (at birth) (FEMALE),66.2756
Singapore,Life expectancy (at birth) (FEMALE),84.01149
Bahamas,Life expectancy (at birth) (FEMALE),76.25388
Iceland,Life expectancy (at birth) (FEMALE),83.33782
Lesotho,Life expectancy (at birth) (FEMALE),50.69098
Jamaica,Life expectancy (at birth) (FEMALE),77.713
Somalia,Life expectancy (at birth) (FEMALE),54.90852
Spain,Life expectancy (at birth) (FEMALE),84.93915
Sudan,Life expectancy (at birth) (FEMALE),69.7097
Togo,Life expectancy (at birth) (FEMALE),64.83113
Saint Vincent and the Grenadines,Life expectancy (at birth) (FEMALE),75.32427
Gabon,Life expectancy (at birth) (FEMALE),68.09052
Portugal,Life expectancy (at birth) (FEMALE),82.73711
Sao Tome and Principe,Life expectancy (at birth) (FEMALE),71.99387
Belarus,Life expectancy (at birth) (FEMALE),74.60679
Algeria,Life expectancy (at birth) (FEMALE),78.12115
Bahamas,Life expectancy (at birth) (FEMALE),74.19233
Yemen,Life expectancy (at birth) (FEMALE),68.92004
Libya,Life expectancy (at birth) (FEMALE),76.90043
Guyana,Life expectancy (at birth) (FEMALE),68.23239
Saint Lucia,Life expectancy (at birth) (FEMALE),77.70683
Chad,Life expectancy (at birth) (FEMALE),52.98417
Montenegro,Life expectancy (at birth) (FEMALE),77.72871
Libya,Life expectancy (at birth) (FEMALE),77.30268
Italy,Life expectancy (at birth) (FEMALE),84.25867
Egypt,Life expectancy (at birth) (FEMALE),72.8947
Equatorial Guinea,Life expectancy (at birth) (FEMALE),61.83462
Somalia,Life expectancy (at birth) (FEMALE),59.22458
Cuba,Life expectancy (at birth) (FEMALE),79.82246
Cabo Verde,Life expectancy (at birth) (FEMALE),77.5892
Romania,Life expectancy (at birth) (FEMALE),74.92255
Cabo Verde,Life expectancy (at birth) (FEMALE),77.26542
Nepal,Life expectancy (at birth) (FEMALE),66.57282
Bahamas,Life expectancy (at birth) (FEMALE),76.07729
Jordan,Life expectancy (at birth) (FEMALE),77.6183
Ireland,Life expectancy (at birth) (FEMALE),79.02361
Georgia,Life expectancy (at birth) (FEMALE),76.30207
Gambia,Life expectancy (at birth) (FEMALE),67.65157
Sweden,Life expectancy (at birth) (FEMALE),81.78581
Senegal,Life expectancy (at birth) (FEMALE),68.7729
Indonesia,Life expectancy (at birth) (FEMALE),71.03043
Samoa,Life expectancy (at birth) (FEMALE),70.78302
Estonia,Life expectancy (at birth) (FEMALE),80.44887
Somalia,Life expectancy (at birth) (FEMALE),52.57983
Eritrea,Life expectancy (at birth) (FEMALE),65.44547
Slovakia,Life expectancy (at birth) (FEMALE),80.37247
Cuba,Life expectancy (at birth) (FEMALE),79.03805
Qatar,Life expectancy (at birth) (FEMALE),71.73755
Oman,Life expectancy (at birth) (FEMALE),74.08579
Austria,Life expectancy (at birth) (FEMALE),83.28748
Pakistan,Life expectancy (at birth) (MALE),61.52513
Mauritania,Life expectancy (at birth) (MALE),67.19347
Luxembourg,Life expectancy (at birth) (MALE),80.62149
Yemen,Life expectancy (at birth) (MALE),64.41312
Americas,Life expectancy (at birth) (MALE),71.13172
Togo,Life expectancy (at birth) (MALE),61.51863
Benin,Life expectancy (at birth) (MALE),58.03378
Saint Lucia,Life expectancy (at birth) (MALE),71.85686
Belize,Life expectancy (at birth) (MALE),70.89174
Senegal,Life expectancy (at birth) (MALE),56.86884
Democratic Republic of the Congo,Life expectancy (at birth) (MALE),58.25044
Antigua and Barbuda,Life expectancy (at birth) (MALE),73.56496
Australia,Life expectancy (at birth) (MALE),81.2524
Morocco,Life expectancy (at birth) (MALE),71.06863
Liberia,Life expectancy (at birth) (MALE),52.89455
Kyrgyzstan,Life expectancy (at birth) (MALE),65.2009
Czechia,Life expectancy (at birth) (FEMALE),81.29614
Barbados,Life expectancy (at birth) (FEMALE),77.66379
Malawi,Life expectancy (at birth) (FEMALE),66.4723
Yemen,Life expectancy (at birth) (FEMALE),69.57742
Democratic People's Republic of Korea,Life expectancy (at birth) (FEMALE),73.09081
Kyrgyzstan,Life expectancy (at birth) (FEMALE),77.31073
United States of America,Life expectancy (at birth) (FEMALE),80.72668
Guyana,Life expectancy (at birth) (FEMALE),66.505
Equatorial Guinea,Life expectancy (at birth) (FEMALE),59.12447
Senegal,Life expectancy (at birth) (FEMALE),70.14394
Poland,Life expectancy (at birth) (FEMALE),77.87715
Pakistan,Life expectancy (at birth) (FEMALE),66.72388
Barbados,Life expectancy (at birth) (FEMALE),77.35789
Belgium,Life expectancy (at birth) (FEMALE),83.50694
Bahrain,Life expectancy (at birth) (FEMALE),71.77354
Republic of Moldova,Life expectancy (at birth) (FEMALE),75.04539
Syrian Arab Republic,Life expectancy (at birth) (MALE),71.18203
Ukraine,Life expectancy (at birth) (MALE),67.21251
Mexico,Life expectancy (at birth) (MALE),72.22916
France,Life expectancy (at birth) (MALE),79.75678
Tajikistan,Life expectancy (at birth) (MALE),66.03922
Spain,Life expectancy (at birth) (MALE),78.76283
Equatorial Guinea,Life expectancy (at birth) (MALE),59.75115
Sao Tome and Principe,Life expectancy (at birth) (MALE),66.88831
Cabo Verde,Life expectancy (at birth) (MALE),66.88631
Belize,Life expectancy (at birth) (MALE),67.17996
Panama,Life expectancy (at birth) (MALE),76.16512
Argentina,Life expectancy (at birth) (MALE),72.91711
Vanuatu,Life expectancy (at birth) (MALE),61.89898
New Zealand,Life expectancy (at birth) (MALE),79.73185
Lesotho,Life expectancy (at birth) (MALE),44.50241
Turkmenistan,Life expectancy (at birth) (MALE),65.65692
Paraguay,Life expectancy (at birth) (FEMALE),77.13629
Albania,Life expectancy (at birth) (FEMALE),76.91914
Upper-middle-income economies,Life expectancy (at birth) (FEMALE),79.4019
Gambia,Life expectancy (at birth) (FEMALE),64.46643
Vanuatu,Life expectancy (at birth) (FEMALE),68.32056
Djibouti,Life expectancy (at birth) (FEMALE),66.72945404
Dominican Republic,Life expectancy (at birth) (FEMALE),76.75536346
Eastern Mediterranean,Life expectancy (at birth) (FEMALE),70.12342072
Ecuador,Life expectancy (at birth) (FEMALE),77.20480347
Egypt,Life expectancy (at birth) (FEMALE),71.70874023
El Salvador,Life expectancy (at birth) (FEMALE),76.24875641
Equatorial Guinea,Life expectancy (at birth) (FEMALE),63.21443939
Eritrea,Life expectancy (at birth) (FEMALE),66.23751068
Estonia,Life expectancy (at birth) (FEMALE),81.19586182
Eswatini,Life expectancy (at birth) (FEMALE),57.86551285
Ethiopia,Life expectancy (at birth) (FEMALE),69.74860382
Tunisia,Life expectancy (at birth) (FEMALE),76.84116364
Americas,Life expectancy (at birth) (FEMALE),77.27216339
Republic of Korea,Life expectancy (at birth) (FEMALE),86.65826416
Republic of Moldova,Life expectancy (at birth) (FEMALE),73.63363648
Romania,Life expectancy (at birth) (FEMALE),76.52390289
Russian Federation,Life expectancy (at birth) (FEMALE),74.33863068
Rwanda,Life expectancy (at birth) (FEMALE),69.40378571
Saint Lucia,Life expectancy (at birth) (FEMALE),74.47416687
Saint Vincent and the Grenadines,Life expectancy (at birth) (FEMALE),75.52495575
Samoa,Life expectancy (at birth) (FEMALE),71.58085632
Sao Tome and Principe,Life expectancy (at birth) (FEMALE),72.81318665
Saudi Arabia,Life expectancy (at birth) (FEMALE),77.36849976
Senegal,Life expectancy (at birth) (FEMALE),69.47214508
Serbia,Life expectancy (at birth) (FEMALE),75.62155151
Seychelles,Life expectancy (at birth) (FEMALE),75.62361908
Luxembourg,Life expectancy (at birth) (FEMALE),83.09823
Lesotho,Life expectancy (at birth) (FEMALE),50.68286
North Macedonia,Life expectancy (at birth) (FEMALE),75.87265
Guinea,Life expectancy (at birth) (FEMALE),59.25798
Somalia,Life expectancy (at birth) (FEMALE),57.30913
Slovenia,Life expectancy (at birth) (FEMALE),82.73488
Czechia,Life expectancy (at birth) (FEMALE),78.2887
Cambodia,Life expectancy (at birth) (FEMALE),72.74578
Bolivia (Plurinational State of),Life expectancy (at birth) (FEMALE),71.24718
Brazil,Life expectancy (at birth) (FEMALE),75.18223
Bangladesh,Life expectancy (at birth) (FEMALE),67.35784
Iceland,Life expectancy (at birth) (FEMALE),81.63809
Uruguay,Life expectancy (at birth) (FEMALE),80.55956
Ethiopia,Life expectancy (at birth) (FEMALE),51.69564
Sao Tome and Principe,Life expectancy (at birth) (FEMALE),69.54597
Cuba,Life expectancy (at birth) (FEMALE),80.2512
Türkiye,Life expectancy (at birth) (FEMALE),78.09542084
Turkmenistan,Life expectancy (at birth) (FEMALE),72.49741364
Uganda,Life expectancy (at birth) (FEMALE),68.98082733
Ukraine,Life expectancy (at birth) (FEMALE),75.33701325
United Arab Emirates,Life expectancy (at birth) (FEMALE),80.01707459
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (FEMALE),81.93070984
United Republic of Tanzania,Life expectancy (at birth) (FEMALE),68.37561035
United States of America,Life expectancy (at birth) (FEMALE),79.14743042
Uruguay,Life expectancy (at birth) (FEMALE),78.74074554
Uzbekistan,Life expectancy (at birth) (FEMALE),74.1125412
Vanuatu,Life expectancy (at birth) (FEMALE),69.81194305
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (FEMALE),75.94953919
Viet Nam,Life expectancy (at birth) (FEMALE),77.95729828
Western Pacific,Life expectancy (at birth) (FEMALE),80.51378632
Yemen,Life expectancy (at birth) (FEMALE),68.56819153
Zambia,Life expectancy (at birth) (FEMALE),63.10931397
Zimbabwe,Life expectancy (at birth) (FEMALE),60.5333786
Bhutan,Life expectancy (at birth) (FEMALE),75.9397583
Bolivia (Plurinational State of),Life expectancy (at birth) (FEMALE),68.39269257
Bosnia and Herzegovina,Life expectancy (at birth) (FEMALE),77.19796753
Botswana,Life expectancy (at birth) (FEMALE),63.17931366
Cambodia,Life expectancy (at birth) (MALE),64.19041
Portugal,Life expectancy (at birth) (MALE),76.59469
Timor-Leste,Life expectancy (at birth) (MALE),67.92676
Oman,Life expectancy (at birth) (MALE),72.9706
Netherlands (Kingdom of the),Life expectancy (at birth) (MALE),75.48594
Mauritania,Life expectancy (at birth) (MALE),65.39942
North Macedonia,Life expectancy (at birth) (MALE),71.66879
Algeria,Life expectancy (at birth) (MALE),76.22712
Western Pacific,Life expectancy (at birth) (MALE),72.52351
United Arab Emirates,Life expectancy (at birth) (MALE),75.09794
Guyana,Life expectancy (at birth) (MALE),61.63004
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (MALE),75.49091
Oman,Life expectancy (at birth) (MALE),67.26381
Upper-middle-income economies,Life expectancy (at birth) (MALE),72.40026
Low-income economies,Life expectancy (at birth) (MALE),58.18198
South-East Asia,Life expectancy (at birth) (MALE),66.38667
Samoa,Life expectancy (at birth) (MALE),68.0778
Zimbabwe,Life expectancy (at birth) (MALE),57.51101
Finland,Life expectancy (at birth) (MALE),78.52988
Romania,Life expectancy (at birth) (MALE),71.27955
Central African Republic,Life expectancy (at birth) (MALE),46.69299
Niger,Life expectancy (at birth) (MALE),60.2756
Panama,Life expectancy (at birth) (MALE),76.64988
Armenia,Life expectancy (at birth) (MALE),70.88089
Pakistan,Life expectancy (at birth) (MALE),64.59088
Saudi Arabia,Life expectancy (at birth) (MALE),70.39433
Serbia,Life expectancy (at birth) (MALE),71.63239
Suriname,Life expectancy (at birth) (MALE),67.13255
Ecuador,Life expectancy (at birth) (MALE),72.30629
Slovakia,Life expectancy (at birth) (MALE),74.84261
Georgia,Life expectancy (at birth) (MALE),67.43574
Switzerland,Life expectancy (at birth) (MALE),76.89114
Fiji,Life expectancy (at birth) (MALE),65.93024
Jordan,Life expectancy (at birth) (MALE),77.02438
Democratic People's Republic of Korea,Life expectancy (at birth) (MALE),66.92751
Ecuador,Life expectancy (at birth) (MALE),71.91291
Syrian Arab Republic,Life expectancy (at birth) (MALE),73.20473
Croatia,Life expectancy (at birth) (MALE),73.41486
Cambodia,Life expectancy (at birth) (MALE),67.23409
Poland,Life expectancy (at birth) (MALE),69.5091
Belize,Life expectancy (at birth) (MALE),71.36353
Argentina,Life expectancy (at birth) (MALE),70.3352
Sao Tome and Principe,Life expectancy (at birth) (MALE),62.54929
Iraq,Life expectancy (at birth) (MALE),67.75845
Japan,Life expectancy (at birth) (MALE),79.46046
Estonia,Life expectancy (at birth) (MALE),65.60099
New Zealand,Life expectancy (at birth) (MALE),80.36292
Mozambique,Life expectancy (at birth) (MALE),54.45667
Brazil,Life expectancy (at birth) (MALE),71.66687
Lithuania,Life expectancy (at birth) (MALE),71.2347
Luxembourg,Life expectancy (at birth) (MALE),78.61169
Jamaica,Life expectancy (at birth) (MALE),74.35626
Côte d'Ivoire,Life expectancy (at birth) (MALE),57.98104
Republic of Korea,Life expectancy (at birth) (MALE),72.48937
Uganda,Life expectancy (at birth) (MALE),60.81181
Slovenia,Life expectancy (at birth) (MALE),77.56738
Iran (Islamic Republic of),Life expectancy (at birth) (MALE),75.694
Serbia,Life expectancy (at birth) (FEMALE),78.27786
Mali,Life expectancy (at birth) (FEMALE),52.74541
France,Life expectancy (at birth) (FEMALE),84.71786
North Macedonia,Life expectancy (at birth) (FEMALE),76.86526
Brazil,Life expectancy (at birth) (FEMALE),75.84727478
Brunei Darussalam,Life expectancy (at birth) (FEMALE),78.5667038
Bulgaria,Life expectancy (at birth) (FEMALE),74.97959137
Burkina Faso,Life expectancy (at birth) (FEMALE),64.64479065
Burundi,Life expectancy (at birth) (FEMALE),65.94968414
Cabo Verde,Life expectancy (at birth) (FEMALE),77.44199371
Cambodia,Life expectancy (at birth) (FEMALE),71.45082092
Cameroon,Life expectancy (at birth) (FEMALE),63.7244072
Canada,Life expectancy (at birth) (FEMALE),83.81497955
Central African Republic,Life expectancy (at birth) (FEMALE),55.37900162
Chad,Life expectancy (at birth) (FEMALE),60.66775513
Chile,Life expectancy (at birth) (FEMALE),81.42331696
Iceland,Life expectancy (at birth) (MALE),80.81141
Eritrea,Life expectancy (at birth) (MALE),61.29938
Iceland,Life expectancy (at birth) (MALE),80.6871
Indonesia,Life expectancy (at birth) (MALE),65.77052
Maldives,Life expectancy (at birth) (MALE),70.42198
Barbados,Life expectancy (at birth) (MALE),72.12577
Lebanon,Life expectancy (at birth) (MALE),73.25717
Sierra Leone,Life expectancy (at birth) (MALE),55.90025
Kazakhstan,Life expectancy (at birth) (MALE),63.57526
Americas,Life expectancy (at birth) (MALE),74.0515
Cameroon,Life expectancy (at birth) (MALE),57.28968
Somalia,Life expectancy (at birth) (MALE),47.59577
Micronesia (Federated States of),Life expectancy (at birth) (MALE),60.34532
Portugal,Life expectancy (at birth) (MALE),77.92036
Azerbaijan,Life expectancy (at birth) (MALE),66.28625
Nepal,Life expectancy (at birth) (MALE),67.51768
China,Life expectancy (at birth) (FEMALE),80.52324677
Colombia,Life expectancy (at birth) (FEMALE),77.62155914
Comoros,Life expectancy (at birth) (FEMALE),68.72786713
Somalia,Life expectancy (at birth) (FEMALE),56.33251953
South Africa,Life expectancy (at birth) (FEMALE),64.015625
South Sudan,Life expectancy (at birth) (FEMALE),60.61474228
South-East Asia,Life expectancy (at birth) (FEMALE),70.27694702
Spain,Life expectancy (at birth) (FEMALE),85.29773712
Sri Lanka,Life expectancy (at birth) (FEMALE),80.05458832
Sudan,Life expectancy (at birth) (FEMALE),68.89340973
Suriname,Life expectancy (at birth) (FEMALE),72.70139313
Sweden,Life expectancy (at birth) (FEMALE),84.31275177
Switzerland,Life expectancy (at birth) (FEMALE),85.1147995
Syrian Arab Republic,Life expectancy (at birth) (FEMALE),74.39009094
Tajikistan,Life expectancy (at birth) (FEMALE),73.49938965
Thailand,Life expectancy (at birth) (FEMALE),78.96816254
Sierra Leone,Life expectancy (at birth) (FEMALE),61.8902626
Singapore,Life expectancy (at birth) (FEMALE),86.25122833
Slovakia,Life expectancy (at birth) (FEMALE),78.01091766
Slovenia,Life expectancy (at birth) (FEMALE),83.39120483
Solomon Islands,Life expectancy (at birth) (FEMALE),67.33435822
Myanmar,Life expectancy (at birth) (FEMALE),67.87344
Netherlands (Kingdom of the),Life expectancy (at birth) (FEMALE),82.64706421
New Zealand,Life expectancy (at birth) (FEMALE),84.014534
Nicaragua,Life expectancy (at birth) (FEMALE),77.67507172
Niger,Life expectancy (at birth) (FEMALE),60.93901062
Nigeria,Life expectancy (at birth) (FEMALE),64.77942658
North Macedonia,Life expectancy (at birth) (FEMALE),75.24092102
Norway,Life expectancy (at birth) (FEMALE),84.25270081
"occupied Palestinian territory, including east Jerusalem",Life expectancy (at birth) (FEMALE),75.87512207
Oman,Life expectancy (at birth) (FEMALE),74.86314392
Pakistan,Life expectancy (at birth) (FEMALE),66.93027496
Panama,Life expectancy (at birth) (FEMALE),80.29103851
Papua New Guinea,Life expectancy (at birth) (FEMALE),66.94528961
Italy,Life expectancy (at birth) (MALE),76.40755
Tajikistan,Life expectancy (at birth) (MALE),67.57883
Democratic Republic of the Congo,Life expectancy (at birth) (MALE),50.46237
Cuba,Life expectancy (at birth) (MALE),75.70345
Finland,Life expectancy (at birth) (MALE),79.15776
Guinea,Life expectancy (at birth) (MALE),56.64756
Liberia,Life expectancy (at birth) (MALE),60.64907
Lower-middle-income economies,Life expectancy (at birth) (MALE),60.67618
Gabon,Life expectancy (at birth) (MALE),62.1062
High-income economies,Life expectancy (at birth) (MALE),74.60219
Bulgaria,Life expectancy (at birth) (MALE),70.18677
Solomon Islands,Life expectancy (at birth) (MALE),62.34483
Papua New Guinea,Life expectancy (at birth) (MALE),62.56906
Bangladesh,Life expectancy (at birth) (MALE),68.6325
South Africa,Life expectancy (at birth) (MALE),55.04302
Sao Tome and Principe,Life expectancy (at birth) (MALE),68.04631
Sri Lanka,Life expectancy (at birth) (MALE),67.92283
Portugal,Life expectancy (at birth) (MALE),78.5585
Cabo Verde,Life expectancy (at birth) (MALE),72.17604
Nigeria,Life expectancy (at birth) (MALE),57.75315
Mozambique,Life expectancy (at birth) (MALE),48.37201
Malta,Life expectancy (at birth) (MALE),79.93996
Argentina,Life expectancy (at birth) (MALE),73.5108
Mauritius,Life expectancy (at birth) (MALE),70.96014
Kuwait,Life expectancy (at birth) (MALE),76.36451
Upper-middle-income economies,Life expectancy (at birth) (MALE),73.37775
Iraq,Life expectancy (at birth) (MALE),69.92992
Uganda,Life expectancy (at birth) (MALE),57.01921
Ukraine,Life expectancy (at birth) (MALE),62.05736
Niger,Life expectancy (at birth) (MALE),62.06462
Morocco,Life expectancy (at birth) (MALE),68.06345
Grenada,Life expectancy (at birth) (MALE),69.20226
Samoa,Life expectancy (at birth) (MALE),66.45629
Africa,Life expectancy (at birth) (MALE),62.36873
India,Life expectancy (at birth) (MALE),69.51722
Uzbekistan,Life expectancy (at birth) (MALE),62.39997
United Arab Emirates,Life expectancy (at birth) (MALE),73.86103
Papua New Guinea,Life expectancy (at birth) (MALE),61.12458
Congo,Life expectancy (at birth) (MALE),60.98846
Armenia,Life expectancy (at birth) (MALE),68.58817
Mauritius,Life expectancy (at birth) (MALE),67.73547
Maldives,Life expectancy (at birth) (MALE),77.56042
Montenegro,Life expectancy (at birth) (MALE),70.87914
South-East Asia,Life expectancy (at birth) (MALE),62.19792
Gambia,Life expectancy (at birth) (MALE),62.17968
Papua New Guinea,Life expectancy (at birth) (MALE),63.40222
Bulgaria,Life expectancy (at birth) (MALE),68.40388
Mauritius,Life expectancy (at birth) (MALE),69.83536
Gabon,Life expectancy (at birth) (MALE),63.59354
Togo,Life expectancy (at birth) (MALE),57.04078
Panama,Life expectancy (at birth) (MALE),74.59988
Solomon Islands,Life expectancy (at birth) (MALE),61.29574
Netherlands (Kingdom of the),Life expectancy (at birth) (MALE),79.66799
Lesotho,Life expectancy (at birth) (MALE),45.53362
Libya,Life expectancy (at birth) (MALE),74.20638
Jamaica,Life expectancy (at birth) (MALE),72.04784
Egypt,Life expectancy (at birth) (MALE),67.28972
Uruguay,Life expectancy (at birth) (MALE),70.82229
Tonga,Life expectancy (at birth) (MALE),68.0364
Slovenia,Life expectancy (at birth) (MALE),76.24943
Central African Republic,Life expectancy (at birth) (MALE),43.23857
Tunisia,Life expectancy (at birth) (MALE),74.87583
Czechia,Life expectancy (at birth) (MALE),75.56622
Micronesia (Federated States of),Life expectancy (at birth) (MALE),60.14181
Antigua and Barbuda,Life expectancy (at birth) (MALE),74.88465
Latvia,Life expectancy (at birth) (MALE),64.60622
Democratic People's Republic of Korea,Life expectancy (at birth) (MALE),69.29003
Guyana,Life expectancy (at birth) (MALE),62.45273
Yemen,Life expectancy (at birth) (MALE),65.41431
Sweden,Life expectancy (at birth) (MALE),79.96867
Dominican Republic,Life expectancy (at birth) (MALE),68.62415
Saudi Arabia,Life expectancy (at birth) (MALE),71.73454
Cuba,Life expectancy (at birth) (MALE),75.36885
Tunisia,Life expectancy (at birth) (MALE),71.93842
Grenada,Life expectancy (at birth) (MALE),70.44291
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (MALE),70.51161
Côte d'Ivoire,Life expectancy (at birth) (MALE),61.3910408
Sri Lanka,Life expectancy (at birth) (MALE),73.04675
Guatemala,Life expectancy (at birth) (MALE),63.31877
Peru,Life expectancy (at birth) (MALE),75.61166
Benin,Life expectancy (at birth) (MALE),61.19024
Chad,Life expectancy (at birth) (MALE),56.22492
Chile,Life expectancy (at birth) (MALE),78.08552
Congo,Life expectancy (at birth) (MALE),51.54181
Portugal,Life expectancy (at birth) (MALE),73.06886
Bulgaria,Life expectancy (at birth) (MALE),71.17231
Norway,Life expectancy (at birth) (MALE),80.26122
Maldives,Life expectancy (at birth) (MALE),76.01637
Bahamas,Life expectancy (at birth) (MALE),67.63697
Lebanon,Life expectancy (at birth) (MALE),73.47224
Democratic People's Republic of Korea,Life expectancy (at birth) (MALE),60.79063
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (MALE),78.93338
Eritrea,Life expectancy (at birth) (MALE),59.40457
Croatia,Life expectancy (at birth) (MALE),73.77732086
Cuba,Life expectancy (at birth) (MALE),71.12595367
Cyprus,Life expectancy (at birth) (MALE),79.8661499
Czechia,Life expectancy (at birth) (MALE),74.01309204
Democratic People's Republic of Korea,Life expectancy (at birth) (MALE),69.75508118
Democratic Republic of the Congo,Life expectancy (at birth) (MALE),59.42621613
Denmark,Life expectancy (at birth) (MALE),79.46414185
Djibouti,Life expectancy (at birth) (MALE),63.04217911
Dominican Republic,Life expectancy (at birth) (MALE),70.16326904
Eastern Mediterranean,Life expectancy (at birth) (MALE),66.92933655
Ecuador,Life expectancy (at birth) (MALE),70.95068359
Egypt,Life expectancy (at birth) (MALE),66.68998718
El Salvador,Life expectancy (at birth) (MALE),66.76773071
Equatorial Guinea,Life expectancy (at birth) (MALE),60.17118836
Eritrea,Life expectancy (at birth) (MALE),60.90835953
Estonia,Life expectancy (at birth) (MALE),72.82558441
Russian Federation,Life expectancy (at birth) (MALE),68.17734
Brunei Darussalam,Life expectancy (at birth) (MALE),70.8608
Oman,Life expectancy (at birth) (MALE),68.97169
Mauritania,Life expectancy (at birth) (MALE),68.08337
Americas,Life expectancy (at birth) (MALE),74.48762
Jordan,Life expectancy (at birth) (MALE),76.95224
Trinidad and Tobago,Life expectancy (at birth) (MALE),66.94326
Hungary,Life expectancy (at birth) (MALE),67.06995
South-East Asia,Life expectancy (at birth) (MALE),68.70002
Peru,Life expectancy (at birth) (MALE),77.55082
Bolivia (Plurinational State of),Life expectancy (at birth) (MALE),70.59274
Malta,Life expectancy (at birth) (MALE),78.2261
Western Pacific,Life expectancy (at birth) (MALE),74.76109
Uruguay,Life expectancy (at birth) (MALE),73.30819
Upper-middle-income economies,Life expectancy (at birth) (MALE),70.74337
South Sudan,Life expectancy (at birth) (MALE),60.82513
Timor-Leste,Life expectancy (at birth) (FEMALE),69.56258392
Togo,Life expectancy (at birth) (FEMALE),66.41722107
Tonga,Life expectancy (at birth) (FEMALE),75.28993225
Trinidad and Tobago,Life expectancy (at birth) (FEMALE),75.15306091
Singapore,Life expectancy (at birth) (MALE),76.20437
Viet Nam,Life expectancy (at birth) (MALE),69.56166
Saint Lucia,Life expectancy (at birth) (MALE),71.30344
Nicaragua,Life expectancy (at birth) (MALE),72.07236
Nigeria,Life expectancy (at birth) (MALE),61.1953
Angola,Life expectancy (at birth) (MALE),60.70384
Switzerland,Life expectancy (at birth) (MALE),80.02937
Paraguay,Life expectancy (at birth) (MALE),72.82518
South Africa,Life expectancy (at birth) (MALE),59.81857
Belgium,Life expectancy (at birth) (MALE),74.53505
Madagascar,Life expectancy (at birth) (MALE),61.43193
Africa,Life expectancy (at birth) (MALE),57.68559
France,Life expectancy (at birth) (MALE),75.23779
China,Life expectancy (at birth) (MALE),69.34029
Democratic Republic of the Congo,Life expectancy (at birth) (MALE),55.64806
Colombia,Life expectancy (at birth) (MALE),75.63147
Philippines,Life expectancy (at birth) (MALE),66.63448
Belarus,Life expectancy (at birth) (MALE),69.65255
Bosnia and Herzegovina,Life expectancy (at birth) (MALE),73.94138
Canada,Life expectancy (at birth) (MALE),79.25688
Romania,Life expectancy (at birth) (MALE),67.98226
Belgium,Life expectancy (at birth) (MALE),79.29116
Niger,Life expectancy (at birth) (MALE),59.0294838
Nigeria,Life expectancy (at birth) (MALE),62.06702423
North Macedonia,Life expectancy (at birth) (MALE),70.85033417
Norway,Life expectancy (at birth) (MALE),81.50302124
"occupied Palestinian territory, including east Jerusalem",Life expectancy (at birth) (MALE),71.14110565
Iraq,Life expectancy (at birth) (MALE),66.43359
Malaysia,Life expectancy (at birth) (MALE),72.60717
Mauritania,Life expectancy (at birth) (MALE),61.75289
Sweden,Life expectancy (at birth) (MALE),77.28465
Thailand,Life expectancy (at birth) (MALE),67.51733
Djibouti,Life expectancy (at birth) (MALE),64.09922
Myanmar,Life expectancy (at birth) (MALE),64.32043
Algeria,Life expectancy (at birth) (MALE),74.95451
Angola,Life expectancy (at birth) (MALE),55.77834
Samoa,Life expectancy (at birth) (MALE),69.15868
Eastern Mediterranean,Life expectancy (at birth) (MALE),66.81009
Tonga,Life expectancy (at birth) (MALE),69.44721
Finland,Life expectancy (at birth) (MALE),74.12837
Saint Lucia,Life expectancy (at birth) (MALE),70.30642
